Item No.,Item Name,TID,Transaction
1,Power Drill,T1,"Hand Saw, Tool Box, Nail Gun, Caulk Gun, Power Drill"
2,Circular Saw,T2,"Power Drill, Circular Saw, LED Bulb, Paint Brush, Garden Hose, Hand Saw"
3,Paint Brush,T3,"LED Bulb, Nail Gun, Grout Sealer, Caulk Gun, Power Drill"
4,Garden Hose,T4,"Paint Brush, Hand Saw, Tool Box, Grout Sealer"
5,LED Bulb,T5,"Power Drill, Hand Saw, Tool Box, Nail Gun, Grout Sealer"
6,Hand Saw,T6,"Circular Saw, LED Bulb, Paint Brush, Garden Hose, Hand Saw"
7,Tool Box,T7,"Power Drill, Circular Saw, Paint Brush, Garden Hose"
8,Nail Gun,T8,"Circular Saw, Hand Saw, Tool Box, Nail Gun, Grout Sealer, Power Drill"
9,Grout Sealer,T9,"Grout Sealer, Caulk Gun, Paint Brush, Garden Hose"
10,Caulk Gun,T10,"LED Bulb, Circular Saw, Caulk Gun, Paint Brush, Hand Saw"
,,T11,"Power Drill, Circular Saw, LED Bulb, Grout Sealer, Caulk Gun, Hand Saw"
,,T12,"Garden Hose, LED Bulb, Power Drill, Paint Brush"
,,T13,"Tool Box, Power Drill, Garden Hose, Caulk Gun"
,,T14,"Circular Saw, LED Bulb, Grout Sealer, Paint Brush, Hand Saw"
,,T15,"Hand Saw, Circular Saw, Nail Gun, LED Bulb"
,,T16,"Power Drill, Circular Saw, Tool Box, Caulk Gun, Hand Saw"
,,T17,"Hand Saw, Nail Gun, Grout Sealer, Garden Hose"
,,T18,"LED Bulb, Paint Brush, Hand Saw, Tool Box"
,,T19,"Circular Saw, Power Drill, Garden Hose, Nail Gun"
,,T20,"Power Drill, Circular Saw, Tool Box, Caulk Gun"
